제목,기관명,채용분야,고용형태,학력정보,채용구분,근무지,채용인원,공고기간
"한국국제교류재단 직원(국제교류, 정보화, 보수관리, 기간제 근로자) 채용 공고",한국국제교류재단,"경영.회계.사무,문화.예술.디자인.방송,정보통신","정규직,무기계약직,비정규직","학력무관,대졸(4년)",신입+경력,"서울,부산,제주",10,22.12.16 ~ 22.12.30
[지스트] 2022년 제3차 직원(무기계약직) 채용 재공고,광주과학기술원,정보통신,무기계약직,학력무관,신입,광주,1,22.12.16 ~ 22.12.26
한국사회보장정보원 2022년도 제4차 직원 채용공고,한국사회보장정보원,"사업관리,경영.회계.사무,보건.의료,사회복지.종교,정보통신","비정규직,청년인턴(체험형)","학력무관,고졸,대졸(2~3년),대졸(4년),석사",신입,서울,16,22.12.15 ~ 22.12.30
2022년도 2차 연구직 채용,한국전력공사,"경영.회계.사무,금융.보험,전기.전자,정보통신,환경.에너지.안전,연구",청년인턴(채용형),"대졸(2~3년),대졸(4년),석사,박사",신입+경력,"서울,전남",19,22.12.14 ~ 22.12.28
23년도 한전KDN 광주전라제주지역본부 직할(광주전남) AMI분야 비정규직 모집공고 (1차),한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,"광주,전남",13,22.12.14 ~ 22.12.28
2022년 한국문화예술위원회 일반직II 6급(전산) 채용,한국문화예술위원회,정보통신,무기계약직,학력무관,경력,전남,1,22.12.14 ~ 22.12.29
[한국수자원공사] 전북지역협력단 전주현대화사업소 특수직(기술관리_건설사업) 채용 공고,한국수자원공사,"건설,기계,전기.전자,정보통신",비정규직,학력무관,신입+경력,전북,1,22.12.12 ~ 22.12.19
한국특허기술진흥원 전문직(재공고) 및 행정지원/전산지원 채용 안내,한국특허기술진흥원,"경영.회계.사무,법률.경찰.소방.교도.국방,정보통신",무기계약직,"고졸,대졸(4년),석사,박사",신입,"서울,대전",5,22.12.09 ~ 22.12.23
APEC기후센터 연구원 및 행정원 채용 공고,(재)APEC기후센터,"사업관리,정보통신,연구","정규직,비정규직","대졸(4년),석사",신입+경력,부산,4,22.12.08 ~ 23.01.05
한전KDN 경남사업처 AMI분야 업무위탁 일용근로자 채용공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경남,6,22.12.08 ~ 22.12.22
[한국수자원공사] 낙동강보관리단 특수직(기술관리_댐부대시설 관리) 채용 공고,한국수자원공사,"건설,기계,화학,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,대구,8,22.12.07 ~ 22.12.14
